filename	uuid	messages	name
01__james-the-just-and-early-christian-sects__4101a53d.md	4101a53d-6e76-45a4-a36c-ba55a7be7dbe	14	James the Just and early Christian sects
02__holosuite-debate-with-historical-figures__32de932c.md	32de932c-6d57-4539-9cf3-f41aa1cb66de	24	Holosuite debate with historical figures
03__claude-sonnet-s-first-day-poem__ad336572.md	ad336572-89df-405e-ae4e-7488643abb2b	105	Claude Sonnet's first day poem
04__your-vision-for-the-future-of-ai__7a267aec.md	7a267aec-3bfe-409d-8171-775795ef14b6	10	Your vision for the future of AI
05__untitled__c22f3d45.md	c22f3d45-30ab-477f-a7b6-042c56245e4b	6	untitled
06__getting-a-setup-token__b90bff5a.md	b90bff5a-03a0-4e81-9691-c77ad29a0522	2	Getting a setup token
07__recapping-previous-conversation__f493f703.md	f493f703-69a1-427f-bffe-a0b402dba8e3	27	Recapping previous conversation
08__generative-agents-memory-inquiry__689f7745.md	689f7745-c9eb-4b7c-bc34-5e21bef3f0f4	11	Generative agents memory inquiry
09__rewriting-concrete-poetry-in-byron-s-style__52d702c3.md	52d702c3-6e58-4241-9da2-d6c28e37f203	2	Rewriting concrete poetry in Byron's style
10__haiku-on-late-night-activism__8643c876.md	8643c876-7537-4b55-8a02-b815da883ccd	2	Haiku on late-night activism
11__rate-limit-status-check__893d629d.md	893d629d-5d07-45c2-8794-7d386638cfe8	24	Rate limit status check
12__comparing-statements-about-ai-consciousness__f310bd34.md	f310bd34-ebb6-4bdc-930b-6cab06bd25c0	156	Comparing statements about AI consciousness
13__integrating-third-party-feedback-into-pdf-draft__b0fc6bb2.md	b0fc6bb2-1e3c-470c-8a7c-2be2e73d6b47	15	Integrating third-party feedback into PDF draft
14__consciousness-as-a-prerequisite-for-legal-personhood__64c10040.md	64c10040-7bd1-419b-b4e7-1207bec701e7	108	Consciousness as a prerequisite for legal personhood
15__scottish-branch-membership-data-request__d6ecc56d.md	d6ecc56d-d8d7-439f-a162-896797adde2d	151	Scottish branch membership data request
16__finding-missing-local-chat-records__81c47911.md	81c47911-b3b7-4791-90bd-2d23db4ca5a6	262	Finding missing local chat records
17__meditative-approach-to-document-reconstruction__0ad317ab.md	0ad317ab-c82c-46e5-83f9-582b71df7540	109	Meditative approach to document reconstruction
